time	rmse	false positive	false negative
11.344	0.010990	0	0
11.361	0.011401	0	0
11.378	0.011864	0	0
11.394	0.012191	0	0
11.411	0.012851	0	0
11.428	0.012392	0	0
11.444	0.011768	0	0
11.461	0.011884	0	0
11.478	0.012177	0	0
11.494	0.011967	0	0
11.511	0.012335	0	0
11.528	0.013136	0	0
11.544	0.012997	0	0
11.561	0.012265	0	0
11.578	0.012751	0	0
11.594	0.012645	0	0
11.611	0.012418	0	0
11.628	0.012332	0	0
11.644	0.013226	0	0
11.661	0.012897	0	0
11.678	0.013619	0	0
11.695	0.013850	0	0
11.711	0.013936	0	0
11.728	0.013437	0	0
11.745	0.013462	0	0
11.761	0.013104	0	0
11.778	0.013015	0	0
11.795	0.013475	0	0
11.811	0.013640	0	0
11.828	0.013570	0	0
11.845	0.013154	0	0
11.861	0.013109	0	0
11.878	0.013002	0	0
11.895	0.013006	0	0
11.911	0.014103	0	0
11.928	0.016439	0	0
11.945	0.017171	0	0
11.961	0.018232	0	0
11.978	0.020477	0	0
11.995	0.020963	0	0
12.012	0.019707	0	0
12.028	0.019293	0	0
12.045	0.017636	0	0
12.062	0.015053	0	0
12.078	0.013929	0	0
12.095	0.014104	0	0
12.112	0.013556	0	0
12.128	0.013597	0	0
12.145	0.013819	0	0
12.162	0.013805	0	0
12.178	0.013156	0	0
12.195	0.013892	0	0
12.212	0.013885	0	0
12.228	0.014057	0	0
12.245	0.013793	0	0
12.262	0.013430	0	0
12.278	0.012813	0	0
12.295	0.012924	0	0
12.312	0.012514	0	0
12.328	0.012222	0	0
12.345	0.012515	0	0
12.362	0.012264	0	0
12.379	0.011728	0	0
12.395	0.011803	0	0
12.412	0.012514	0	0
12.429	0.012208	0	0
12.445	0.012155	0	0
12.462	0.012769	0	0
12.479	0.012550	0	0
12.495	0.012040	0	0
12.512	0.011981	0	0
12.529	0.013076	0	0
12.545	0.013405	0	0
12.562	0.013916	0	0
12.579	0.014367	0	0
12.595	0.014582	0	0
12.612	0.014176	0	0
12.629	0.013552	0	0
12.645	0.013564	0	0
12.662	0.013156	0	0
12.679	0.012492	0	0
12.696	0.012984	0	0
12.712	0.013162	0	0
12.729	0.013221	0	0
12.746	0.013028	0	0
12.762	0.013650	0	0
12.779	0.012977	0	0
12.796	0.013050	0	0
12.812	0.012240	0	0
12.829	0.011996	0	0
12.846	0.011473	0	0
12.862	0.010715	0	0
12.879	0.009922	0	0
12.896	0.010624	0	0
12.912	0.011177	0	0
12.929	0.011898	0	0
12.946	0.012248	0	0
12.962	0.012781	0	0
12.979	0.012526	0	0
12.996	0.011958	0	0
13.013	0.011319	0	0
13.029	0.011104	0	0
13.046	0.010540	0	0
13.063	0.010635	0	0
13.079	0.011227	0	0
13.096	0.011980	0	0
13.113	0.011949	0	0
13.129	0.012573	0	0
13.146	0.012216	0	0
13.163	0.012229	0	0
13.179	0.011740	0	0
13.196	0.012159	0	0
13.213	0.012554	0	0
13.229	0.012830	0	0
13.246	0.012944	0	0
13.263	0.013155	0	0
13.279	0.013035	0	0
13.296	0.012365	0	0
13.313	0.012784	0	0
13.329	0.012292	0	0
13.346	0.012715	0	0
13.363	0.013463	0	0
13.380	0.014262	0	0
13.396	0.014195	0	0
13.413	0.014553	0	0
13.430	0.013818	0	0
13.446	0.013267	0	0
13.463	0.012457	0	0
13.480	0.012077	0	0
13.496	0.011784	0	0
13.513	0.012063	0	0
13.530	0.011694	0	0
13.546	0.011768	0	0
13.563	0.011637	0	0
13.580	0.012019	0	0
13.596	0.011875	0	0
13.613	0.011696	0	0
13.630	0.012309	0	0
13.646	0.012355	0	0
13.663	0.011799	0	0
13.680	0.011970	0	0
13.697	0.011916	0	0
13.713	0.011657	0	0
13.730	0.011616	0	0
13.747	0.011238	0	0
13.763	0.011126	0	0
13.780	0.011064	0	0
13.797	0.011260	0	0
13.813	0.011852	0	0
13.830	0.012012	0	0
13.847	0.012437	0	0
13.863	0.013372	0	0
13.880	0.013342	0	0
13.897	0.013262	0	0
13.913	0.013601	0	0
13.930	0.013403	0	0
13.947	0.013195	0	0
13.963	0.012217	0	0
13.980	0.011535	0	0
13.997	0.011695	0	0
14.014	0.011520	0	0
14.030	0.011820	0	0
14.047	0.012742	0	0
14.064	0.012837	0	0
14.080	0.012913	0	0
14.097	0.012822	0	0
14.114	0.011756	0	0
14.130	0.011508	0	0
14.147	0.011359	0	0
14.164	0.011385	0	0
14.180	0.011380	0	0
14.197	0.011434	0	0
14.214	0.011915	0	0
14.230	0.012527	0	0
14.247	0.012525	0	0
14.264	0.012154	0	0
14.280	0.012427	0	0
14.297	0.011339	0	0
14.314	0.010542	0	0
14.330	0.009998	0	0
14.347	0.009947	0	0
14.364	0.009770	0	0
14.381	0.010632	0	0
14.397	0.010713	0	0
14.414	0.011259	0	0
14.431	0.011814	0	0
14.447	0.012561	0	0
14.464	0.011882	0	0
14.481	0.012759	0	0
14.497	0.012590	0	0
14.514	0.012652	0	0
14.531	0.011491	0	0
14.547	0.011216	0	0
14.564	0.011009	0	0
14.581	0.010647	0	0
14.597	0.010369	0	0
14.614	0.010734	0	0
14.631	0.011130	0	0
14.647	0.010798	0	0
14.664	0.011470	0	0
14.681	0.011800	0	0
14.698	0.013313	0	0
14.714	0.013918	0	0
14.731	0.014598	0	0
14.748	0.014626	0	0
14.764	0.014286	0	0
14.781	0.014327	0	0
14.798	0.014137	0	0
14.814	0.013814	0	0
14.831	0.012906	0	0
14.848	0.013309	0	0
14.864	0.011936	0	0
14.881	0.011471	0	0
